"row_id","itemid","label","fluid","category","loinc_code"
628,51428,"Macrophage","Other Body Fluid","Hematology","12230-9"
630,51430,"Metamyelocytes","Other Body Fluid","Hematology","17801-2"
631,51431,"Monos","Other Body Fluid","Hematology","10330-9"
632,51432,"Myelocytes","Other Body Fluid","Hematology","17800-4"
633,51433,"NRBC","Other Body Fluid","Hematology",""
634,51434,"Other Cell","Other Body Fluid","Hematology",""
635,51435,"Plasma","Other Body Fluid","Hematology","17803-8"
637,51437,"Promyelocytes","Other Body Fluid","Hematology","17799-8"
638,51438,"RBC, Other Fluid","Other Body Fluid","Hematology","26455-6"
641,51441,"Bands","Pleural","Hematology",""
642,51442,"Basophils","Pleural","Hematology","35070-2"
643,51443,"Blasts","Pleural","Hematology",""
645,51445,"Hematocrit, Pleural","Pleural","Hematology",""
646,51446,"Lymphocytes","Pleural","Hematology","26481-2"
647,51447,"Macrophages","Pleural","Hematology","40520-9"
648,51448,"Mesothelial Cells","Pleural","Hematology","30431-1"
651,51451,"Myelocytes","Pleural","Hematology",""
654,51454,"Plasma Cells","Pleural","Hematology","40522-5"
655,51455,"Polys","Pleural","Hematology","26519-9"
656,51456,"Promyelocytes","Pleural","Hematology",""
657,51457,"RBC, Pleural","Pleural","Hematology","26456-4"
658,51458,"WBC, Pleural","Pleural","Hematology","26467-1"
659,51459,"Young Cells","Pleural","Hematology",""
660,51460,"Blood, Occult","Stool","Hematology","2335-8"
663,51463,"Bacteria","Urine","Hematology","5769-5"
665,51465,"Bilirubin Crystals","Urine","Hematology","5771-1"
667,51467,"Broad Casts","Urine","Hematology","18487-9"
668,51468,"Calcium Carbonate Crystals","Urine","Hematology","5773-7"
670,51470,"Calcium Phosphate Crystals","Urine","Hematology","5775-2"
671,51471,"Cellular Cast","Urine","Hematology",""
673,51473,"Cysteine Crystals","Urine","Hematology","5782-8"
674,51474,"Eosinophils","Urine","Hematology","25156-1"
675,51475,"Epithelial Casts","Urine","Hematology",""
676,51476,"Epithelial Cells","Urine","Hematology","5787-7"
677,51477,"Free Fat","Urine","Hematology","53359-6"
678,51478,"Glucose","Urine","Hematology","5792-7"
679,51479,"Granular Casts","Urine","Hematology","5793-5"
680,51480,"Hematocrit","Urine","Hematology","17809-5"
681,51481,"Hemosiderin","Urine","Hematology","4644-1"
685,51485,"Leucine Crystals","Urine","Hematology","5798-4"
687,51487,"Nitrite","Urine","Hematology","5802-4"
688,51488,"Non-squamous Epithelial Cells","Urine","Hematology","41284-1"
690,51490,"Oval Fat Body","Urine","Hematology",""
691,51491,"pH","Urine","Hematology","5803-2"
692,51492,"Protein","Urine","Hematology","5804-0"
695,51495,"RBC Clumps","Urine","Hematology",""
697,51497,"Renal Epithelial Cells","Urine","Hematology","26052-1"
700,51500,"Sulfonamides","Urine","Hematology","5812-3"
702,51502,"Trichomonas","Urine","Hematology","32724-7"
703,51503,"Triple Phosphate Crystals","Urine","Hematology","5814-9"
707,51507,"Urine Casts, Other","Urine","Hematology","9842-6"
708,51508,"Urine Color","Urine","Hematology","5778-6"
709,51509,"Urine Comments","Urine","Hematology",""
710,51510,"Urine Crystals, Other","Urine","Hematology","5783-6"
713,51513,"Urine Specimen Type","Urine","Hematology","19159-3"
717,51517,"WBC Casts","Urine","Hematology","5820-6"
718,51518,"WBC Clumps","Urine","Hematology",""
719,51519,"Yeast","Urine","Hematology","5822-2"
720,51520,"ANTI-MC","BLOOD","CHEMISTRY","32042-4"
721,51521,"ACID PHOSPHATASE, PROSTATIC","BLOOD","CHEMISTRY",""
722,51522,"PG","OTHER BODY FLUID","CHEMISTRY","48785-0"
723,51523,"GR HOLD","URINE","CHEMISTRY",""
724,51524,"FATTY","URINE","HEMATOLOGY","5789-3"
725,51525,"Billed","BLOOD","CHEMISTRY",""
727,51527,"MS-DIA","BLOOD","CHEMISTRY",""
728,51528,"STDY HOLD","BLOOD","CHEMISTRY",""
729,51529,"Estimated Actual Glucose","BLOOD","CHEMISTRY",""
730,51530,"AF-AFP","OTHER BODY FLUID","CHEMISTRY",""
731,51531,"STDYURINE","URINE","CHEMISTRY",""
735,51535,"CD55","OTHER BODY FLUID","HEMATOLOGY",""
736,51536,"CD59","OTHER BODY FLUID","HEMATOLOGY",""
737,51537,"TDT","OTHER BODY FLUID","HEMATOLOGY",""
738,51540,"PROBLEM SPECIMEN","BLOOD","CHEMISTRY",""
739,51541,"PROBLEM SPECIMEN","BLOOD","HEMATOLOGY",""
742,51544,"VOIDED SPECIMEN","OTHER BODY FLUID","BLOOD GAS",""
743,51545,"VOIDED SPECIMEN","BLOOD","BLOOD GAS",""
746,51548,"VOIDED SPECIMEN","URINE","HEMATOLOGY",""
747,51549,"VOIDED SPECIMEN","ASCITES","CHEMISTRY",""
750,51552,"VOIDED SPECIMEN","STOOL","CHEMISTRY",""
751,51553,"VOIDED SPECIMEN","URINE","CHEMISTRY",""
752,51554,"VOIDED SPECIMEN","JOINT FLUID","HEMATOLOGY",""
753,51555,"SURFACTANT ALBUMIN RATIO","OTHER BODY FLUID","CHEMISTRY",""
